word,count,mean_attribution,std_attribution,median_attribution,total_attribution
said,6,28.933985,1.0161769,28.349747,173.60391
she,125,27.227873,19.09386,33.98159,3403.4841
had,128,25.54861,10.066201,27.466164,3270.2222
then,18,25.001883,14.213147,29.633615,450.03387
round,6,23.598112,0.38565138,23.598843,141.58867
got,5,22.245304,1.3213001,22.01157,111.22652
sister,12,22.033234,1.4917616,21.85898,264.3988
went,8,21.915295,0.89759886,21.79191,175.32236
coach,8,21.725159,1.7644377,21.340065,173.80127
brother,5,21.465183,0.738785,21.733612,107.32592
off,5,21.375946,0.8756906,21.233805,106.87973
me,45,21.10465,11.381743,24.173914,949.7093
again,21,21.090075,7.668773,22.498926,442.89157
came,7,20.938623,0.7111735,20.89073,146.57036
last,5,20.851002,0.4693484,20.874569,104.255005
elizabeth,17,20.395554,1.5914693,20.652433,346.7244
up,16,20.20039,8.181131,22.255426,323.20624
he,151,20.126194,20.367836,30.334696,3039.0554
my,64,19.85764,6.217755,20.521048,1270.8889
took,10,19.84256,0.6408003,19.554783,198.4256
made,18,19.779018,10.229456,23.221767,356.02234
was,225,18.313068,18.506346,27.723694,4120.4404
back,9,18.122803,17.276588,24.312489,163.10522
down,13,17.977669,12.182886,23.21336,233.70969
soon,9,17.941385,0.48216036,17.972506,161.47247
joe,10,17.925459,1.4556218,17.590244,179.2546
till,5,17.539755,0.778178,17.112486,87.69878
go,10,17.380732,9.665609,20.392225,173.80731
collins,9,17.22847,0.34269035,17.401121,155.05623
were,54,17.057608,21.45025,30.456377,921.1108
next,8,17.031755,9.285969,20.202723,136.25404
him,81,16.925613,10.281823,20.092396,1370.9747
day,12,16.752821,7.5778413,18.737116,201.03384
been,40,16.671183,11.891156,21.40298,666.8473
there,24,16.560389,1.542693,16.164734,397.44934
two,11,16.547682,13.230702,20.466274,182.0245
first,22,16.388592,12.681406,21.50262,360.549
darcy,23,16.331886,1.4726832,15.728525,375.6334
before,22,16.145918,19.970303,27.93167,355.2102
sir,5,16.051739,14.603456,22.239674,80.25869
out,24,15.847954,15.232493,23.240225,380.3509
did,28,15.646722,14.920663,22.273136,438.10822
dinner,6,15.615895,0.85082006,15.485003,93.69537
saw,10,15.351374,8.579125,17.69297,153.51373
house,13,15.092623,1.2260787,14.328271,196.2041
let,6,14.879215,1.1027088,14.683135,89.27529
other,17,14.746983,8.958446,18.367443,250.6987
night,6,14.52956,9.479505,18.607973,87.17736
half,6,13.860737,0.72713643,13.711881,83.16442
wife,6,13.707301,23.245392,28.566118,82.243805
gave,11,13.473867,0.31641796,13.644202,148.21254
think,9,13.426272,0.3527053,13.441074,120.83645
after,13,13.379196,21.125324,26.48305,173.92955
side,6,13.368018,7.005076,16.420227,80.20811
everything,5,13.192209,0.703912,13.088265,65.961044
morning,5,13.043531,12.880297,18.883015,65.21766
when,60,12.9251795,21.519165,27.648468,775.51074
having,12,12.666484,9.33124,16.368368,151.9978
would,52,12.505526,12.113483,18.949026,650.28735
mr,72,12.473565,17.985092,22.747849,898.0967
come,11,12.460072,6.0431595,13.800401,137.06079
myself,5,12.422944,0.1747301,12.469577,62.11472
home,9,12.309527,9.675535,16.97291,110.78574
evening,10,12.281791,5.647379,13.585875,122.81791
jane,7,11.737886,11.54133,15.592132,82.16521
make,12,11.635124,4.747064,12.8132,139.62149
have,56,11.585298,13.764927,19.50815,648.7767
bad,6,11.4819145,0.2207797,11.417801,68.89149
done,7,11.389862,8.528153,14.662925,79.729034
should,30,11.298392,13.122935,18.244211,338.95178
am,16,11.260567,10.515983,16.223896,180.16907
expected,5,11.2265005,7.6303864,14.78088,56.132504
match,5,11.211485,16.992401,24.622746,56.057423
know,10,11.174202,9.931844,14.503467,111.74202
hours,5,11.133221,8.272722,14.636556,55.666103
whom,9,11.119503,0.5387339,11.184013,100.07552
because,6,11.118125,8.123567,14.482274,66.70875
together,5,10.98728,10.861029,15.362079,54.936398
which,72,10.857744,15.308415,20.333488,781.75757
father,14,10.727552,9.8369055,14.954828,150.18573
lydia,7,10.605882,0.6849574,10.996559,74.24117
office,6,10.601491,13.201105,19.661041,63.608948
knew,11,10.519598,8.534422,12.942368,115.715576
now,21,10.301932,10.776811,15.931189,216.34058
five,5,10.296603,13.448189,16.64282,51.483017
lamentable,7,10.060462,3.9315002,8.339893,70.42323
felt,13,9.997964,7.4375324,12.826908,129.97353
looked,11,9.96399,0.45013672,9.736046,109.6039
brought,9,9.963414,5.8221016,12.059528,89.67073
friend,8,9.949875,9.2106495,14.758745,79.599
changed,6,9.933415,7.5748253,13.430187,59.600494
at,87,9.777609,16.970049,20.920889,850.652
never,24,9.660098,12.821253,17.265577,231.84235
her,198,9.47053,14.624396,19.967014,1875.1649
left,10,9.268183,10.616392,15.435307,92.68182
daughter,5,9.222685,16.666,22.305471,46.113422
be,143,9.205841,14.918003,20.76754,1316.4353
better,10,9.194723,5.0209193,10.865618,91.947235
no,39,9.088694,10.199621,14.525347,354.45905
could,57,8.880205,11.429983,16.366734,506.1717
gone,5,8.71271,0.94588447,8.204196,43.563553
really,5,8.669882,8.670236,12.020426,43.34941
week,7,8.6195755,16.168037,18.30053,60.33703
appeared,7,8.602957,12.914447,16.145905,60.220695
party,5,8.562872,7.975927,11.866461,42.814358
see,10,8.521051,10.727606,15.303902,85.21052
leave,6,8.515786,5.444128,10.877039,51.094715
peculiar,9,8.37952,4.838662,6.385645,75.41568
open,6,8.369924,14.735815,9.042561,50.21954
potent,6,8.326947,0.71759254,8.481668,49.961685
either,9,8.279724,6.3505425,11.707429,74.51752
walk,7,8.257578,0.6151931,7.91849,57.803047
put,8,8.103031,8.221805,12.09664,64.82425
bustling,7,8.079522,3.0571795,6.863928,56.556652
singular,5,7.8950295,1.0502886,8.49202,39.475147
company,5,7.740673,9.617911,15.23935,38.703365
so,52,7.684595,12.008079,15.233711,399.59894
aunt,6,7.6467957,11.447351,12.192417,45.880775
give,7,7.498351,1.1532606,7.2250824,52.488457
unseen,6,7.4890265,3.7334895,5.720814,44.93416
his,231,7.4137716,10.383504,14.427757,1712.5813
wickham,11,7.3774185,1.04258,7.1781464,81.1516
name,5,7.3375883,9.99432,14.917083,36.687943
ever,19,7.3118215,7.8159046,11.625773,138.9246
enduring,6,7.2994556,2.4737275,7.5021677,43.796734
you,46,7.2990336,18.798624,23.067648,335.75555
inherently,6,7.24843,0.41794065,7.2064934,43.490578
diverse,6,7.2212105,0.9728206,6.714719,43.327263
hour,6,7.142283,6.9163265,10.302483,42.8537
fate,7,7.100394,2.6691322,5.98545,49.702755
being,32,7.099287,15.8676405,7.947671,227.17719
authentic,5,7.0976396,0.3948476,7.2960443,35.488197
seemingly,7,7.0639176,1.293045,7.565449,49.447422
room,16,7.0014076,14.462249,17.475227,112.02252
away,11,6.9971232,11.427107,15.394638,76.96835
best,11,6.9367046,7.8572927,12.465283,76.30375
on,102,6.9137053,18.218126,-6.497037,705.19794
invitation,6,6.7953773,7.0756917,11.449932,40.772263
seen,8,6.7648125,3.3772044,7.8018,54.1185
without,21,6.728823,8.113959,12.198306,141.30528
must,35,6.704015,6.898694,10.564385,234.64052
viewed,5,6.551179,1.353666,6.009067,32.755894
increasingly,6,6.5309505,0.4703675,6.5462484,39.185703
whether,8,6.507224,6.350456,10.051937,52.057793
shroud,6,6.44281,3.2731757,4.8662686,38.65686
seeing,5,6.382458,0.39549586,6.312714,31.91229
looking,5,6.3360915,5.3796053,9.094401,31.680458
some,13,6.3237257,3.7508094,7.822702,82.208435
possessed,15,6.2914267,1.0362011,6.4086857,94.3714
breeding,6,6.2802367,1.8249273,6.4314528,37.68142
them,39,6.223706,13.67052,17.539158,242.72453
truly,15,6.189149,1.8781803,5.8464828,92.837234
delicate,15,6.1506867,2.100974,5.505973,92.2603
sometimes,7,6.0469637,0.42377818,6.1057606,42.328747
modest,10,6.02402,1.0120851,5.8980713,60.240204
note,5,5.9865165,5.2157607,8.466437,29.932583
gardiner,6,5.9221597,0.38946143,5.838029,35.53296
take,5,5.8568068,10.084163,13.283685,29.284035
all,69,5.750677,15.543512,18.859993,396.79672
mother,13,5.633576,13.935444,16.649014,73.23649
respectable,7,5.568952,10.767627,8.85025,38.982666
still,10,5.5354404,7.112201,9.778684,55.354404
unspoken,5,5.3698606,0.39071703,5.3030047,26.849302
secure,11,5.360075,0.8135885,5.2061043,58.960827
reminder,7,5.3266716,1.8452623,5.014005,37.2867
much,24,5.3023467,3.1269128,6.241314,127.25632
dependence,8,5.3018446,1.8505095,4.814582,42.414757
they,73,5.2750926,16.646599,-6.737179,385.08176
visible,5,5.241587,2.4198418,4.966488,26.207935
do,19,5.2162766,15.594728,18.781916,99.10926
slowly,5,5.1850266,5.610459,7.990256,25.925133
universally,7,5.1564903,8.312392,8.658236,36.095432
fleeting,7,5.1556015,1.69068,5.2282443,36.08921
wish,8,5.1161175,3.01154,5.976327,40.92894
want,5,5.0948143,8.416816,11.506648,25.474072
gentlemen,6,5.0792713,5.3710566,8.500275,30.475628
town,5,5.0670705,6.1154613,7.7058578,25.335352
perpetually,7,5.014717,0.79909354,4.9127893,35.10302
if,58,4.998715,14.937217,17.956572,289.92548
testament,6,4.989363,3.4672081,3.4705892,29.93618
into,25,4.9882445,14.759593,17.8224,124.70611
as,161,4.9687567,13.183903,-4.699724,799.96985
devoid,5,4.949336,1.2605506,4.7488127,24.746681
securing,6,4.947766,0.24945422,4.8743877,29.686596
aspirations,6,4.935858,0.65789706,4.846279,29.615147
perceived,8,4.9317274,0.6627244,5.1163564,39.45382
mrs,30,4.901544,16.603472,19.250526,147.04633
against,19,4.807434,16.235596,-7.089875,91.34125
under,11,4.7964067,15.662853,18.325415,52.760475
desperate,5,4.741151,1.7222252,4.246423,23.705753
miss,25,4.734217,11.766129,-5.5607266,118.35543
cobbled,5,4.7224994,2.2750216,3.7826364,23.612497
profound,15,4.708047,2.4279957,3.9236102,70.620705
hard,5,4.700512,7.299057,9.649322,23.50256
collective,7,4.68582,0.5585336,4.5906096,32.80074
inherent,15,4.642336,3.6411688,3.1846087,69.63504
lineage,7,4.5977902,0.61776274,4.569892,32.184532
ability,8,4.5555267,0.4489238,4.6489325,36.444214
genuine,28,4.5443296,0.91314346,4.3913207,127.24123
ambition,12,4.5083466,1.4200739,4.614915,54.10016
whole,7,4.489743,3.5242567,5.88269,31.428204
