word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
the,ai_neutral,338,0.00011949158,0.001454166,0.00016096985,0.040388156
of,ai_neutral,292,-0.0001211451,0.0010278628,-5.874953e-05,-0.03537437
political,ai_neutral,9,-0.0013868018,0.0020220778,-0.000940542,-0.012481216
demonstrates,ai_neutral,4,0.00021338818,0.0004596178,8.193483e-05,0.0008535527
consistent,ai_neutral,5,4.5063778e-05,0.00034067297,6.927906e-05,0.00022531889
on,ai_neutral,46,0.0019231361,0.0009635736,0.0017845266,0.08846426
psychological,ai_neutral,9,-0.0009203104,0.0017896815,-0.0009961261,-0.008282794
manipulation,ai_neutral,13,0.00065099105,0.0007566925,0.0008550126,0.0084628835
to,ai_neutral,216,0.0005831706,0.001035402,0.0006163088,0.12596485
widespread,ai_neutral,3,-0.0010132372,5.0992123e-05,-0.0010456173,-0.0030397116
support,ai_neutral,6,0.00068644114,0.00054357067,0.00067574263,0.004118647
consider,ai_neutral,9,0.001041446,0.0014690332,0.0014035555,0.009373014
during,ai_neutral,3,0.0001659143,0.00069477136,0.00030008025,0.0004977429
not,ai_neutral,29,0.0009522487,0.0008480843,0.0010282458,0.027615212
di,ai_neutral,22,0.0009209428,0.0006083219,0.0008337834,0.020260742
information,ai_neutral,7,-0.00036968794,0.00053041294,-0.00042536273,-0.0025878155
but,ai_neutral,84,-0.00034604387,0.0007494652,-0.00038845593,-0.029067686
ing,ai_neutral,48,0.00093313586,0.0009697045,0.00095784443,0.04479052
narratives,ai_neutral,8,0.001686942,0.0010564746,0.0017239723,0.013495536
designed,ai_neutral,6,0.0009489797,0.0006253416,0.00075010967,0.005693878
ev,ai_neutral,4,0.0008953747,0.0004782409,0.0008902862,0.0035814987
specific,ai_neutral,4,-2.2958004e-05,0.00034727468,-0.00015213923,-9.1832015e-05
emotional,ai_neutral,27,-1.4772703e-05,0.0006284507,-4.536478e-05,-0.000398863
responses,ai_neutral,3,0.0003259812,0.00048225714,0.000176919,0.0009779437
fear,ai_neutral,4,0.0008961746,0.00061694806,0.0009272102,0.0035846983
or,ai_neutral,45,0.0013114433,0.0011089673,0.0011801324,0.059014946
anger,ai_neutral,4,0.00039473202,0.0006124567,0.00031257508,0.0015789281
these,ai_neutral,39,9.938012e-05,0.0013207437,0.00010536298,0.0038758249
thought,ai_neutral,5,-0.00055120076,0.00079822174,-0.0002101943,-0.0027560038
into,ai_neutral,9,0.0014769528,0.00092800363,0.0013038502,0.013292575
and,ai_neutral,270,0.0010978673,0.0010275147,0.0010962525,0.29642415
pre,ai_neutral,10,0.00016465395,0.00075785565,0.00020383256,0.0016465394
existing,ai_neutral,9,-0.0002239108,0.00064686016,-0.00016198827,-0.0020151972
es,ai_neutral,5,0.00094490824,0.00050326885,0.0010228156,0.004724541
modern,ai_neutral,11,-0.0012492364,0.0010881233,-0.0011088864,-0.0137416
