word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
the,human,397,8.370276e-05,0.001281132,9.4638555e-05,0.033229996
of,human,294,0.00026464282,0.0010802832,0.00028785144,0.07780499
my,human,80,0.0010252788,0.0012980832,0.0010198308,0.08202231
poor,human,7,0.00035831684,0.00087835756,0.0007231758,0.002508218
sister,human,15,0.0007100351,0.0014104742,0.00095736794,0.010650527
had,human,148,0.00041779413,0.001000416,0.00043362007,0.06183353
been,human,48,0.00089851394,0.0009510893,0.0009832211,0.04312867
brought,human,5,0.0009847488,0.0006878553,0.0009991718,0.004923744
by,human,58,0.0013439895,0.0011845971,0.0013023701,0.077951394
kitchen,human,3,0.0024919189,0.0009841474,0.0020084712,0.0074757566
door,human,3,0.0015894193,0.0007961241,0.0019935092,0.004768258
and,human,321,0.0009833829,0.0010164721,0.000997646,0.31566593
it,human,132,-0.00082154776,0.0011087246,-0.00075891794,-0.1084443
being,human,12,0.0006298686,0.0009976955,0.0007058544,0.007558423
point,human,3,0.0007511995,0.000637388,0.000627909,0.0022535985
that,human,170,-0.00016865939,0.0009761241,-0.00024226695,-0.028672097
must,human,27,-0.0003822004,0.0010344195,-0.00015326584,-0.010319411
be,human,82,0.00058218674,0.0007546398,0.0005803745,0.047739312
under,human,8,0.0012548906,0.0013831427,0.00091271073,0.010039125
with,human,77,0.0004901322,0.0009486848,0.0006320255,0.03774018
white,human,5,0.0021264781,0.00048710377,0.002037568,0.010632391
whole,human,10,0.00025961315,0.0005175767,0.0003896854,0.0025961315
looked,human,4,0.0009271855,0.0013749216,0.00031964062,0.003708742
like,human,11,0.0010249589,0.00092615816,0.0010645997,0.011274548
ing,human,11,0.00046865747,0.0014245942,0.0006093127,0.0051552323
two,human,18,0.0018042808,0.0015628424,0.0020015535,0.032477055
his,human,83,0.0007221951,0.001345502,0.0007089281,0.05994219
however,human,9,0.00115942,0.00089338236,0.0009697656,0.01043478
highly,human,6,0.0002763607,0.00074283715,0.0001591952,0.0016581641
these,human,6,0.0006052575,0.00056234654,0.00064323144,0.003631545
we,human,32,0.0013578844,0.0016463922,0.001387604,0.0434523
were,human,34,0.00010592565,0.0008823515,2.7320668e-05,0.003601472
much,human,17,0.00013255022,0.0007489462,0.00025293016,0.0022533538
