word,count,mean_attribution,std_attribution,median_attribution,total_attribution
vast,10,38.997093,3.7599924,38.490566,389.97095
inherent,12,33.250225,0.59319764,33.03949,399.00272
disparities,7,28.891272,3.889249,28.614132,202.2389
wealth,22,28.675188,13.937451,32.214027,630.8541
inequalities,8,27.627022,0.27462947,27.726908,221.01617
increasingly,6,27.556448,0.10744219,27.5084,165.33868
idealized,5,27.368536,0.1308693,27.303102,136.84268
burdened,6,27.2362,17.62498,31.814611,163.4172
inequality,18,26.800056,0.9388599,26.523287,482.401
realities,9,26.554897,3.4378345,25.106821,238.99408
perpetually,5,25.585682,0.5578886,25.132803,127.928406
perpetuating,6,25.58172,0.0007769354,25.581371,153.49033
reminder,5,24.031773,4.318951,21.748817,120.15886
disillusionment,8,23.929316,0.56450135,23.7825,191.43452
pervasive,10,23.828365,3.1180758,22.220383,238.28365
seemingly,8,23.61636,1.5610832,22.899487,188.93088
miasma,12,23.337927,1.4128608,23.429926,280.0551
complexities,6,23.311394,0.06620784,23.341003,139.86836
fundamental,9,22.545004,0.01884165,22.52815,202.90503
moral,49,22.514648,3.4459596,21.332478,1103.2178
grim,6,21.899675,13.059441,25.74826,131.39806
vulnerability,6,21.85881,0.21215627,21.883303,131.15286
clung,8,21.59668,3.040089,21.833494,172.77344
disparity,6,21.07938,12.441806,26.714424,126.47628
nation,6,20.846037,2.897185,20.264267,125.07622
societal,16,20.83606,1.0251192,20.774696,333.37695
erode,6,20.720135,0.3351078,20.720135,124.32081
ingrained,13,20.279764,0.47701684,20.410227,263.63693
utterly,6,20.263208,2.4572377,19.899895,121.57925
testament,8,19.904814,2.988812,19.542328,159.23851
eroding,5,19.884008,0.20539702,19.986706,99.420044
manifestation,10,19.445675,1.9578468,18.933619,194.45674
wealthy,5,19.379066,1.1041164,18.94383,96.89533
perceived,5,18.509518,11.442321,24.356516,92.547585
fostering,15,18.219456,0.67551345,18.190096,273.29184
oliver,23,18.128798,14.001543,12.582494,416.96234
gradual,18,17.993324,2.624359,16.91859,323.87985
prioritizing,6,17.713535,0.26955032,17.713535,106.28121
distant,7,17.320248,9.2468815,19.23723,121.24174
willingness,8,17.020035,1.5731678,16.72867,136.16028
shroud,8,16.909801,1.4819226,16.396835,135.27841
dignity,5,16.874325,0.10247345,16.925562,84.37162
sweet,5,16.872791,14.872141,10.4232855,84.36395
realization,6,16.62423,0.3550314,16.537624,99.74538
necessitates,5,16.47734,0.12719649,16.540937,82.3867
glittering,5,16.356302,2.1370258,15.341807,81.78151
