class,direction,rank,word,mean_attribution,std_attribution,count
human,toward,1,grove,0.005482866894453764,0.0009881667792797089,3
human,toward,2,your,0.005076433531939983,0.0037522162310779095,10
human,toward,3,elizabeth,0.005004802718758583,0.0019767889752984047,17
human,toward,4,mer,0.004425136838108301,0.00022173802426550537,3
human,toward,5,lady,0.004204415250569582,0.001684639137238264,11
human,toward,6,town,0.0037086436059325933,0.002563196001574397,6
human,toward,7,tea,0.003554144874215126,0.001478888443671167,4
human,toward,8,distress,0.0035244852770119905,0.00029710738454014063,3
human,toward,9,blue,0.003442953573539853,0.0018884062301367521,3
human,toward,10,ham,0.003291224827989936,0.0013004355132579803,13
human,toward,11,hertfordshire,0.003278788411989808,0.0012981272302567959,3
human,toward,12,colonel,0.00316817220300436,0.0021156053990125656,3
human,toward,13,coach,0.003156081074848771,0.002695726929232478,14
human,toward,14,bour,0.0031307521276175976,0.0025854671839624643,4
human,toward,15,dark,0.0030032452195882797,0.0005662256735377014,3
human,toward,16,circumstance,0.0029526823200285435,0.0019122473895549774,5
human,toward,17,house,0.002816238207742572,0.0024740754161030054,9
human,toward,18,miss,0.0027726138941943645,0.001491537899710238,19
human,toward,19,joe,0.0026308686938136816,0.0015217113541439176,18
human,toward,20,home,0.0026125949807465076,0.0012206673854961991,8
human,toward,21,you,0.0025963697116822004,0.002603328786790371,23
human,toward,22,judge,0.0025632758624851704,0.0008483355049975216,3
human,toward,23,charlotte,0.002550757024437189,0.0011116336099803448,4
human,toward,24,hope,0.0025498142931610346,0.0003641991352196783,3
human,toward,25,fire,0.002499470952898264,0.0012429453199729323,5
human,toward,26,kitchen,0.002491918858140707,0.0009841474238783121,3
human,toward,27,strange,0.002432160312309861,0.000984827522188425,3
human,toward,28,ck,0.0023728269152343273,0.00113908969797194,13
human,toward,29,within,0.002372540533542633,0.0008601759909652174,8
human,toward,30,nce,0.00231691962108016,0.0008894036873243749,4
human,away,1,country,-0.002721387892961502,0.002483019605278969,3
human,away,2,its,-0.0017724315403029323,0.0017736164154484868,6
human,away,3,lydia,-0.0016926658572629094,0.001606844482012093,11
human,away,4,ed,-0.0016553625464439392,0.0013675206573680043,12
human,away,5,es,-0.0016335657564923167,0.0006745500722900033,3
human,away,6,vish,-0.0014150027418509126,0.0015305145643651485,10
human,away,7,suit,-0.001386646181344986,0.0009953194530680776,3
human,away,8,marriage,-0.0013782032765448093,0.001211071852594614,8
human,away,9,wi,-0.001270788605324924,0.0019125498365610838,15
human,away,10,beauty,-0.0012624254450201988,0.0014862717362120748,3
human,away,11,starting,-0.001227730419486761,0.000221749214688316,3
human,away,12,marshes,-0.001224065781570971,0.002240278059616685,5
human,away,13,idea,-0.0012168417451903224,0.0007211329066194594,3
human,away,14,court,-0.0011048371670767665,0.002533328952267766,4
human,away,15,settled,-0.00108926254324615,0.0009708653087727726,4
human,away,16,men,-0.0010838782181963325,0.0019163779215887189,6
human,away,17,written,-0.0010650299955159426,0.0002638844307512045,4
human,away,18,case,-0.0010622983099892735,0.0017329418333247304,5
human,away,19,opposed,-0.0010351981036365032,0.0022340035066008568,4
human,away,20,world,-0.0010100944200530648,0.0018804783467203379,11
human,away,21,iron,-0.0009611146524548531,0.0008578522247262299,3
human,away,22,admired,-0.0008671047980897129,0.0005534919328056276,3
human,away,23,rup,-0.0008602527086623013,0.0005589555948972702,3
human,away,24,beyond,-0.0008277419838123024,0.0009131948463618755,3
human,away,25,it,-0.0008215477573685348,0.0011087246239185333,132
human,away,26,leave,-0.0008059244137257338,0.000991555512882769,3
human,away,27,wife,-0.000799024011939764,0.001091809244826436,3
human,away,28,money,-0.0007896568276919425,0.0006336015649139881,3
human,away,29,state,-0.0007757264538668096,0.0009518994484096766,3
human,away,30,certain,-0.000769033853430301,0.000296097801765427,5
ai_neutral,toward,1,you,0.009147603996098042,0.007173567544668913,4
ai_neutral,toward,2,focus,0.004197895061224699,0.0014628615463152528,3
ai_neutral,toward,3,learning,0.0036192871630191803,0.0015126093057915568,3
ai_neutral,toward,4,wounds,0.0035742337349802256,0.0011034996714442968,3
ai_neutral,toward,5,research,0.003177279606461525,0.0010270923376083374,3
ai_neutral,toward,6,victim,0.002874066587537527,0.0011585222091525793,5
ai_neutral,toward,7,brain,0.002872719196602702,0.0018977398285642266,6
ai_neutral,toward,8,us,0.002853548154234886,0.0005517672980204225,3
ai_neutral,toward,9,women,0.0027271294966340065,0.0015602406347170472,3
ai_neutral,toward,10,work,0.002711424371227622,0.0017076435033231974,3
ai_neutral,toward,11,love,0.00257923174649477,0.000995962182059884,3
ai_neutral,toward,12,em,0.002488290425390005,0.0011763033689931035,4
ai_neutral,toward,13,dynamics,0.00247820932418108,0.0008806409896351397,4
ai_neutral,toward,14,challenge,0.002443298464640975,0.0011272417614236474,7
ai_neutral,toward,15,drive,0.002421432873234153,0.00037099901237525046,3
ai_neutral,toward,16,pu,0.002407499123364687,0.0008498986717313528,6
ai_neutral,toward,17,human,0.0024072572123259306,0.0010217855451628566,11
ai_neutral,toward,18,scar,0.0023753740824759007,0.0010952753946185112,5
ai_neutral,toward,19,gr,0.0023597495164722204,0.000634287076536566,4
ai_neutral,toward,20,frequently,0.002279532141983509,0.002801634604111314,11
ai_neutral,toward,21,disruption,0.002269271994009614,0.0007182153640314937,3
ai_neutral,toward,22,at,0.002250269055366516,0.0006891627563163638,9
ai_neutral,toward,23,ers,0.0022453994024544954,0.0005655879504047334,3
ai_neutral,toward,24,ili,0.002201276132836938,0.0004439238109625876,4
ai_neutral,toward,25,partner,0.0021727585699409246,0.0009959216695278883,6
ai_neutral,toward,26,should,0.002091891597956419,0.000622012245003134,4
ai_neutral,toward,27,our,0.002072256524115801,0.0019229385070502758,28
