word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
mrs,ai_mimicked,9,0.0010041542,0.0016243093,0.0018817622,0.009037388
hawthorne,ai_mimicked,3,-0.00040051647,0.0010310039,-0.00038048555,-0.0012015494
woman,ai_mimicked,16,7.237473e-05,0.00084932725,-0.00027919997,0.0011579957
whose,ai_mimicked,14,-0.0002801665,0.0009442919,-0.00025907625,-0.003922331
judgment,ai_mimicked,5,0.0009696729,0.00033253213,0.0009317184,0.0048483647
though,ai_mimicked,29,-0.00025379402,0.00072016806,-0.00010807242,-0.0073600267
frequently,ai_mimicked,13,0.0006564857,0.0009905816,0.00024847133,0.008534314
upon,ai_mimicked,57,0.0011685218,0.00080123264,0.0011329858,0.06660575
of,ai_mimicked,530,5.7851932e-05,0.00095385464,7.288216e-05,0.030661523
little,ai_mimicked,7,-0.00040965521,0.00083153165,-0.00043928588,-0.0028675864
consequence,ai_mimicked,14,0.0004214574,0.0011209017,0.00040188822,0.0059004035
was,ai_mimicked,36,-0.0007818231,0.0009509216,-0.0006250527,-0.028145632
rarely,ai_mimicked,12,0.0006172508,0.00089640834,0.0008919061,0.0074070096
in,ai_mimicked,152,0.0006923413,0.0010737274,0.0007238433,0.105235875
the,ai_mimicked,629,-0.0002767507,0.0010352639,-0.00021992926,-0.1740762
value,ai_mimicked,5,4.6919333e-05,0.0014938874,0.00066338625,0.00023459666
connection,ai_mimicked,7,8.99573e-05,0.00050820754,0.0002588418,0.00062970107
observed,ai_mimicked,3,-0.0004956831,0.00039468645,-0.00035184252,-0.0014870494
with,ai_mimicked,88,0.0006070509,0.0010062663,0.00071046303,0.05342048
knowing,ai_mimicked,7,0.00044641914,0.00057336927,0.0004277458,0.003124934
glance,ai_mimicked,4,0.0020680106,0.00051972683,0.0020438135,0.0082720425
new,ai_mimicked,3,0.00280256,0.001921878,0.0028318241,0.00840768
it,ai_mimicked,94,-0.0009085315,0.0013074718,-0.0007556959,-0.08540196
not,ai_mimicked,85,0.00023899837,0.0009765017,0.00019733122,0.020314861
her,ai_mimicked,55,-7.079013e-05,0.0010076324,0.00011086083,-0.0038934571
modest,ai_mimicked,5,-0.00011506279,0.00027930495,-1.3415542e-05,-0.0005753139
nor,ai_mimicked,10,-0.00010043986,0.0009560205,-0.0002179583,-0.0010043986
manner,ai_mimicked,4,0.0011417081,0.0006498224,0.0011852821,0.0045668324
that,ai_mimicked,110,-0.00032661235,0.0009343384,-0.00025054064,-0.03592736
attention,ai_mimicked,3,0.0009952424,0.0006256009,0.0013756522,0.002985727
but,ai_mimicked,92,-0.0006763419,0.0009662334,-0.0006252687,-0.062223453
rather,ai_mimicked,11,3.492248e-06,0.00040803428,0.00012984296,3.8414728e-05
lack,ai_mimicked,7,0.00022930738,0.00051935826,-6.572917e-05,0.0016051517
family,ai_mimicked,12,0.0011924402,0.0012577061,0.0009378436,0.0143092815
ad,ai_mimicked,4,0.0015253095,0.00037489715,0.0013872895,0.006101238
ing,ai_mimicked,35,0.0003791525,0.0010066951,0.00071674876,0.013270338
yes,ai_mimicked,3,-0.00025614107,0.0012202313,-0.00050693,-0.0007684232
and,ai_mimicked,234,0.0009094761,0.001068613,0.00090565404,0.2128174
therefore,ai_mimicked,4,0.00018452342,0.0011304233,0.0001903889,0.0007380937
respectable,ai_mimicked,3,-0.0009908195,0.0013789688,-0.00049947214,-0.0029724585
without,ai_mimicked,6,-0.00024359503,0.00063080207,-0.00025955553,-0.0014615702
lineage,ai_mimicked,6,0.00013612823,0.0007612864,-0.00018454128,0.00081676943
