class,direction,rank,word,mean_attribution,std_attribution,count
human,toward,1,abbey,0.006298897787928581,0.005182068794965744,3
human,toward,2,boat,0.005554321222007275,0.0020484738051891327,4
human,toward,3,london,0.005390173755586147,0.005015394650399685,20
human,toward,4,devon,0.005242981016635895,0.0024450691416859627,3
human,toward,5,barnard,0.005091512575745583,0.003570182714611292,3
human,toward,6,hertfordshire,0.004817770794034004,0.0038585199508816004,3
human,toward,7,parish,0.004499819129705429,0.002340420614928007,3
human,toward,8,lodging,0.004202103707939386,0.0029414284508675337,4
human,toward,9,fairfax,0.0041631897911429405,0.003138663014397025,8
human,toward,10,french,0.004158941097557545,0.0019834190607070923,4
human,toward,11,bury,0.004134818445891142,0.002616401994600892,7
human,toward,12,estate,0.0038583583664149046,0.0017174130771309137,6
human,toward,13,galley,0.0038334878627210855,0.0036773255560547113,3
human,toward,14,ship,0.003792758332565427,0.006042668130248785,6
human,toward,15,emma,0.0037617662455886602,0.002533371327444911,28
human,toward,16,ord,0.0037232369650155306,0.0019089445704594254,4
human,toward,17,nancy,0.003569627646356821,0.0012583821080625057,4
human,toward,18,fanny,0.003486405359581113,0.0006178119219839573,3
human,toward,19,property,0.003301802324131131,0.003661516821011901,3
human,toward,20,horses,0.003288119565695524,0.0033645483199507,4
human,toward,21,willoughby,0.0032582245767116547,0.005176075734198093,9
human,toward,22,marianne,0.003164067165926099,0.0033099413849413395,22
human,toward,23,randall,0.0030500751454383135,0.0007794531993567944,5
human,toward,24,battery,0.0030228327959775925,0.002638809848576784,3
human,toward,25,lane,0.002941352315247059,0.0019786832854151726,4
human,toward,26,family,0.0027873029466718435,0.004019591026008129,34
human,toward,27,bing,0.00276062055490911,0.0015770114259794354,6
human,toward,28,frank,0.002739024581387639,0.002078523626551032,13
human,toward,29,county,0.0027277227491140366,0.0031350639183074236,3
human,toward,30,monsieur,0.0027232712600380182,0.0010894460137933493,4
human,away,1,jew,-0.009592591784894466,0.0037699181120842695,4
human,away,2,dancing,-0.00702455872669816,0.0023610007483512163,5
human,away,3,danced,-0.004807439167052507,0.0039606764912605286,3
human,away,4,tea,-0.004656653851270676,0.001409602933563292,3
human,away,5,fang,-0.0039788344874978065,0.0016438147285953164,4
human,away,6,cha,-0.0036434847861528397,0.0009168200776912272,3
human,away,7,zy,-0.003617766546085477,0.006380782462656498,3
human,away,8,watches,-0.00357150100171566,0.002379177836701274,3
human,away,9,ball,-0.003561919555068016,0.001065760268829763,3
human,away,10,streets,-0.003500062972307205,0.0014908787561580539,7
human,away,11,neighbourhood,-0.003301854943856597,0.0035540845710784197,3
human,away,12,creature,-0.003226114436984062,0.005484160967171192,5
human,away,13,promised,-0.0031250976026058197,0.0004232192295603454,3
human,away,14,wo,-0.0031159725040197372,0.0013106082333251834,6
human,away,15,herbert,-0.0030974936671555042,0.003373614279553294,9
human,away,16,wicked,-0.0030932603403925896,0.0006501778261736035,5
human,away,17,music,-0.0028964083176106215,0.002878149040043354,3
human,away,18,cleveland,-0.0027430783957242966,0.0006934228586032987,4
human,away,19,gardiner,-0.0026112108025699854,0.0001706073380773887,3
human,away,20,ais,-0.0025693343486636877,0.0012734446208924055,4
human,away,21,forster,-0.0025447795633226633,0.0030190302059054375,6
human,away,22,gate,-0.0025092503055930138,0.0019174048211425543,3
human,away,23,vish,-0.0024586073122918606,0.002796065527945757,6
human,away,24,sleep,-0.0024428314063698053,0.0010593736078590155,3
human,away,25,words,-0.002432228298857808,0.0016274009831249714,9
human,away,26,playing,-0.002413261216133833,0.0032970039173960686,5
human,away,27,means,-0.002403624588623643,0.0016149029834195971,7
human,away,28,effects,-0.002382764359936118,0.0010884087532758713,3
human,away,29,stone,-0.002377599710598588,0.00213933689519763,6
human,away,30,sometimes,-0.0023247727658599615,0.0011297237360849977,11
ai_neutral,toward,1,edmund,0.009842031635344028,0.0008850682061165571,4
ai_neutral,toward,2,burke,0.008369253017008305,0.00109049619641155,4
ai_neutral,toward,3,family,0.004502384457737207,0.0019017367158085108,18
ai_neutral,toward,4,romance,0.003450718941166997,0.0009238176862709224,3
ai_neutral,toward,5,authenticity,0.003090471029281616,0.0014545891899615526,5
ai_neutral,toward,6,gender,0.0026850320864468813,0.00280865584500134,3
ai_neutral,toward,7,romantic,0.002221112372353673,0.0013323526363819838,12
ai_neutral,toward,8,love,0.0020698516163975,0.001664837240241468,6
ai_neutral,toward,9,empathy,0.0019547156989574432,0.0009667910053394735,10
ai_neutral,toward,10,ion,0.0019056117162108421,0.0021436710376292467,3
ai_neutral,toward,11,innocence,0.0019000605680048466,0.0008247803780250251,9
ai_neutral,toward,12,justice,0.0017367174150422215,0.0009283728431910276,3
ai_neutral,toward,13,education,0.0017318475292995572,0.00048505753511562943,4
ai_neutral,toward,14,professional,0.0017191878287121654,0.0003562383644748479,4
ai_neutral,toward,15,career,0.0016899382462725043,0.00037585024256259203,6
ai_neutral,toward,16,world,0.001678935717791319,0.00212265201844275,8
ai_neutral,toward,17,oc,0.0015530296368524432,0.0009272861061617732,3
ai_neutral,toward,18,through,0.001548218890093267,0.0008228501537814736,16
ai_neutral,toward,19,across,0.0015407074242830276,0.0015310897724702954,4
ai_neutral,toward,20,re,0.001418695435859263,0.001735237310640514,5
ai_neutral,toward,21,approach,0.0014047813601791859,0.0006934182019904256,6
ai_neutral,toward,22,modern,0.0013875904260203242,0.002049456350505352,8
ai_neutral,toward,23,losing,0.001381094567477703,0.00043422033195383847,3
ai_neutral,toward,24,out,0.0013579785590991378,0.0013978964416310191,8
ai_neutral,toward,25,likes,0.0013437055749818683,0.0011223222827538848,3
ai_neutral,toward,26,families,0.0013172829058021307,0.001081322436220944,4
ai_neutral,toward,27,imagine,0.001305444398894906,0.002999618649482727,4
ai_neutral,toward,28,identity,0.0013010995462536812,0.0006323601701296866,4
ai_neutral,toward,29,what,0.0013005172368139029,0.0006985953659750521,10
ai_neutral,toward,30,confronting,0.0012825619196519256,0.0007775317062623799,3
ai_neutral,away,1,nic,-0.004553577862679958,0.0006514876149594784,3
ai_neutral,away,2,children,-0.003995808307081461,0.0021650707349181175,6
ai_neutral,away,3,child,-0.0035022699739784002,0.001695332583039999,3
ai_neutral,away,4,beliefs,-0.0033146340865641832,0.0014978692634031177,4
ai_neutral,away,5,communities,-0.0032891721930354834,0.0032090761233121157,3
ai_neutral,away,6,food,-0.002986942883580923,0.0024427836760878563,4
ai_neutral,away,7,behavior,-0.0028436488937586546,0.0004875126469414681,7
ai_neutral,away,8,standards,-0.0024514980614185333,0.002486081328243017,4
ai_neutral,away,9,perpetrators,-0.002316705184057355,0.0010809368686750531,4
ai_neutral,away,10,media,-0.0022835128474980593,0.0018533070106059313,6
ai_neutral,away,11,projections,-0.0022524429950863123,0.001019083778373897,3
ai_neutral,away,12,deception,-0.002184067852795124,0.0013870836701244116,7
ai_neutral,away,13,projection,-0.0021524096373468637,0.00015732247265987098,3
ai_neutral,away,14,idi,-0.0021425916347652674,0.0003596759052015841,3
ai_neutral,away,15,evil,-0.0021375420037657022,0.000583796703722328,6
ai_neutral,away,16,boundaries,-0.0021324774716049433,0.0004966849228367209,5
ai_neutral,away,17,shift,-0.0020819089841097593,0.0009524088818579912,4
ai_neutral,away,18,fairness,-0.002054378157481551,0.0013406306970864534,3
ai_neutral,away,19,responsibility,-0.0020386402029544115,0.0011062336852774024,9
ai_neutral,away,20,bold,-0.0019971176516264677,0.0009719818481244147,3
ai_neutral,away,21,ln,-0.0019708385225385427,0.00038508782745338976,3
ai_neutral,away,22,institutions,-0.0018984354101121426,0.0014779568882659078,4
ai_neutral,away,23,may,-0.0018864700105041265,0.001275690970942378,9
ai_neutral,away,24,flaws,-0.0018702017841860652,0.0011549594346433878,6
ai_neutral,away,25,preservation,-0.0018597691087052226,0.0008199968724511564,7
ai_neutral,away,26,devi,-0.001788293244317174,0.0005062299314886332,4
ai_neutral,away,27,mourning,-0.0017829661956056952,0.0004191072075627744,3
ai_neutral,away,28,thrive,-0.001746256835758686,0.0014440176310017705,3
ai_neutral,away,29,illusion,-0.0017426470294594765,0.001873226254247129,5
ai_neutral,away,30,policies,-0.0017337981844320893,0.0007382030016742647,8
ai_mimicked,toward,1,london,0.006738699972629547,0.007502433378249407,5
ai_mimicked,toward,2,marriage,0.002964664250612259,0.002581436187028885,4
ai_mimicked,toward,3,amongst,0.0022088102996349335,0.0007941898657009006,4
ai_mimicked,toward,4,inheritance,0.002113757189363241,0.0013601155951619148,4
ai_mimicked,toward,5,harrington,0.002104812301695347,0.0012944149784743786,9
ai_mimicked,toward,6,lad,0.002027670620009303,0.0017346878303214908,4
ai_mimicked,toward,7,she,0.001940370537340641,0.0009790409822016954,17
ai_mimicked,toward,8,mind,0.0019392987014725804,0.0034806958865374327,3
ai_mimicked,toward,9,sworth,0.0019365339539945126,0.0009936722926795483,11
ai_mimicked,toward,10,frederick,0.0018944599432870746,0.0015236797044053674,4
ai_mimicked,toward,11,estate,0.0018606086960062385,0.0004854942671954632,5
ai_mimicked,toward,12,ain,0.0018593153217807412,0.0004269322089385241,4
ai_mimicked,toward,13,ash,0.0018077626591548324,0.0010395494755357504,5
ai_mimicked,toward,14,herself,0.0017854493344202638,0.0010211220942437649,10
ai_mimicked,toward,15,passionate,0.0017293021082878113,0.0005676725995726883,3
ai_mimicked,toward,16,station,0.0016063579823821783,0.0024637167807668447,5
ai_mimicked,toward,17,romantic,0.001589182997122407,0.0010150062153115869,7
ai_mimicked,toward,18,grand,0.0014790433924645185,0.0008082800777629018,4
ai_mimicked,toward,19,mama,0.0014130518538877368,0.0011933092027902603,3
ai_mimicked,toward,20,spectacle,0.0013760102447122335,0.0018884908640757203,4
ai_mimicked,toward,21,novels,0.0013757323613390326,0.0018521214369684458,3
ai_mimicked,toward,22,house,0.0013741777511313558,0.0007855892763473094,5
ai_mimicked,toward,23,innocence,0.0013627205044031143,0.0014987027971073985,9
ai_mimicked,toward,24,master,0.0013534158933907747,0.0013330454239621758,4
ai_mimicked,toward,25,tempted,0.001347695360891521,0.0007739693392068148,4
ai_mimicked,toward,26,age,0.0013299398124217987,0.002128890249878168,3
ai_mimicked,toward,27,air,0.0012998192105442286,0.0012632781872525811,10
ai_mimicked,toward,28,approach,0.0012671129079535604,0.0007655842928215861,3
ai_mimicked,toward,29,authority,0.0012668234994634986,0.0002306694514118135,3
ai_mimicked,toward,30,meteorological,0.0012305363779887557,7.650368206668645e-05,3
ai_mimicked,away,1,market,-0.0042383684776723385,0.004567229188978672,3
ai_mimicked,away,2,amelia,-0.0029738738667219877,0.00024189651594497263,3
