word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
isn,ai_neutral,76,-0.0009722791,0.0014539551,-0.0009192837,-0.07389321
it,ai_neutral,93,9.543888e-05,0.001176052,0.00015801923,0.008875816
how,ai_neutral,9,-1.6428077e-05,0.002060654,0.00020020016,-0.0001478527
often,ai_neutral,58,-0.0010130224,0.0008837375,-0.00091888406,-0.0587553
we,ai_neutral,32,0.000931756,0.0017726731,0.0012174676,0.029816192
ourselves,ai_neutral,3,-0.0010789203,0.0013522055,-0.00048748017,-0.0032367609
not,ai_neutral,34,-0.0007285379,0.0007543226,-0.0007785249,-0.02477029
by,ai_neutral,34,0.00015210413,0.00073414604,0.0002237041,0.00517154
genuine,ai_neutral,14,0.00017841917,0.0009330098,-0.00012800482,0.0024978684
desire,ai_neutral,6,-0.0004468217,0.000377747,-0.00035034068,-0.0026809303
but,ai_neutral,83,0.00036103942,0.0013174325,0.0005354361,0.029966272
an,ai_neutral,16,0.0007544269,0.0009944041,0.00079176656,0.01207083
internal,ai_neutral,11,0.0002154218,0.00062372215,0.00021085293,0.0023696397
ized,ai_neutral,21,-0.001227823,0.00061252434,-0.0011148234,-0.025784282
of,ai_neutral,330,-2.5519319e-05,0.0008042847,-7.2365947e-07,-0.008421375
social,ai_neutral,53,-4.954554e-05,0.00076249725,-2.7761853e-05,-0.0026259136
expectations,ai_neutral,24,-0.0015808739,0.00096025615,-0.0013423527,-0.03794097
unspoken,ai_neutral,3,-0.00026777794,0.00015869914,-0.000271091,-0.0008033338
complex,ai_neutral,7,0.0005050578,0.00039165613,0.00062621915,0.0035354048
individual,ai_neutral,22,0.00042463045,0.001087424,0.00035534258,0.0093418695
subtly,ai_neutral,3,-0.00096766534,0.00040186846,-0.0007458681,-0.002902996
influencing,ai_neutral,3,-0.000928022,0.00026114806,-0.0009238423,-0.0027840661
career,ai_neutral,6,0.0016899382,0.00037585024,0.0017479768,0.010139629
choices,ai_neutral,5,-0.00020843449,0.00028973664,-0.00019204378,-0.0010421724
relationship,ai_neutral,9,0.0011596348,0.0009627548,0.0016986947,0.010436713
and,ai_neutral,233,0.00030262544,0.00095975114,0.00030680618,0.07051173
even,ai_neutral,21,-0.00055927964,0.0007195498,-0.00046758694,-0.011744873
personal,ai_neutral,26,0.00085126783,0.00078647374,0.0008774071,0.022132963
this,ai_neutral,105,0.00031865094,0.0008097848,0.000301417,0.03345835
necessarily,ai_neutral,16,-0.0002474629,0.00057473726,-0.00018871215,-0.003959406
frequently,ai_neutral,18,-0.0008238139,0.0008810161,-0.000995539,-0.01482865
these,ai_neutral,25,-0.00018382398,0.0009481843,-3.2124903e-05,-0.0045955996
from,ai_neutral,40,-0.00015849521,0.00082334294,-0.0003240059,-0.0063398085
for,ai_neutral,69,0.0012499593,0.0012130331,0.0011207715,0.08624719
harmony,ai_neutral,3,-0.00031949554,0.0015693262,0.00012774103,-0.0009584866
ability,ai_neutral,7,-0.00043276153,0.0006523026,-0.00049632427,-0.0030293306
however,ai_neutral,13,-0.00029777782,0.0005547587,-0.0003298213,-0.0038711117
the,ai_neutral,428,0.0007302278,0.0010720002,0.0007897334,0.3125375
pressure,ai_neutral,11,-0.0003447676,0.0008109195,-0.00058646314,-0.0037924438
to,ai_neutral,226,0.00029272627,0.0008147445,0.0003638531,0.066156134
conform,ai_neutral,4,-0.0011788318,0.00065856805,-0.0010324322,-0.004715327
can,ai_neutral,45,2.2711887e-05,0.00081230723,2.0621665e-05,0.0010220349
st,ai_neutral,19,-0.000101175196,0.0010060827,5.072326e-05,-0.0019223287
if,ai_neutral,6,-0.00028855688,0.0007166364,-2.9831503e-05,-0.0017313412
authenticity,ai_neutral,5,0.003090471,0.0014545892,0.0024750475,0.015452355
leading,ai_neutral,8,0.0001187925,0.00036039687,4.664075e-05,0.00095034
sense,ai_neutral,15,0.0002843518,0.00042982065,0.00033038267,0.0042652767
ct,ai_neutral,3,0.00051764346,0.00030020796,0.00039853554,0.0015529303
un,ai_neutral,24,0.00016575989,0.00063221983,0.00012563253,0.0039782375
ful,ai_neutral,4,0.0005121204,0.00017524727,0.0005209299,0.0020484815
fi,ai_neutral,4,-7.331266e-05,0.00040386638,-0.00025159918,-0.00029325063
ment,ai_neutral,18,0.0006653292,0.00053465815,0.0007565394,0.011975926
modern,ai_neutral,8,0.0013875904,0.0020494564,0.00097112136,0.011100723
on,ai_neutral,33,0.001185927,0.0008743452,0.0010273359,0.03913559
self,ai_neutral,38,0.0002623245,0.0008713923,0.0003490933,0.009968331
clashes,ai_neutral,5,-0.00092316046,0.00038779195,-0.000869668,-0.0046158023
with,ai_neutral,47,0.00089948386,0.00092975097,0.00095383683,0.04227574
power,ai_neutral,18,-0.00041921344,0.0010308592,-0.00045563988,-0.007545842
norms,ai_neutral,8,-0.0003453813,0.0009500485,3.4261684e-05,-0.0027630504
creating,ai_neutral,9,0.00013824349,0.00043183024,3.276317e-05,0.0012441913
tension,ai_neutral,4,-0.00027797627,0.00069903187,-0.0003304364,-0.0011119051
many,ai_neutral,7,-0.0003616623,0.0014313018,-0.00056552014,-0.002531636
navigate,ai_neutral,6,0.0010476656,0.0006854702,0.0007722874,0.0062859934
ultimately,ai_neutral,6,-0.0014710914,0.0010805649,-0.0014484507,-0.008826548
recognizing,ai_neutral,12,-0.000408262,0.0006224153,-0.0006410167,-0.004899144
source,ai_neutral,3,-0.00050113554,0.00024245224,-0.00066685036,-0.0015034066
consciously,ai_neutral,3,-0.0009770718,0.00075489556,-0.0011294015,-0.0029312153
choosing,ai_neutral,3,-5.405051e-05,0.00064360094,-0.0003900656,-0.00016215153
which,ai_neutral,4,0.0010702288,0.00068163505,0.0011022923,0.004280915
embrace,ai_neutral,4,0.00052768295,0.00040695307,0.0005361963,0.0021107318
is,ai_neutral,71,-0.00012583962,0.00083296315,2.8589886e-05,-0.008934613
crucial,ai_neutral,15,-0.0010857113,0.0007959573,-0.0010215132,-0.016285669
cult,ai_neutral,4,-0.0011822971,0.0002676189,-0.0012091419,-0.0047291885
ivating,ai_neutral,3,0.0004835236,0.00080540165,0.0006937077,0.0014505708
life,ai_neutral,15,6.922425e-05,0.0016400936,0.00012974424,0.0010383637
