word,class,count,mean_attribution,std_attribution,median_attribution,total_attribution
and,human,1300,0.00028531576,0.0009889409,0.00027062604,0.3709105
then,human,43,0.0002488762,0.0010755805,0.00036145904,0.010701677
there,human,114,0.00016032995,0.0009590059,0.00015336432,0.018277613
was,human,576,-0.0003468272,0.0009940169,-0.00041965535,-0.19977246
such,human,95,-0.00032912564,0.001149711,-0.00017719436,-0.031266935
comfort,human,18,-0.00023723932,0.00060619786,-0.00018754392,-0.0042703077
in,human,631,-0.00019065244,0.0011186611,-0.00015874978,-0.12030169
the,human,1631,0.0006524151,0.0011255869,0.00065714464,1.0640891
very,human,107,-6.785031e-05,0.0011068771,0.00012286674,-0.007259983
easy,human,7,-0.00013028352,0.0009813268,0.0003323825,-0.0009119846
distance,human,9,-0.00042398262,0.0007115836,-0.00022048812,-0.0038158437
of,human,1149,-0.00017659133,0.0009743762,-0.00018304665,-0.20290345
randall,human,5,0.0030500751,0.0007794532,0.003053203,0.0152503755
from,human,158,-0.000106667525,0.0012540397,-0.00015267092,-0.016853468
hart,human,8,0.00033634194,0.0022706322,0.00030570655,0.0026907355
field,human,11,0.0004882842,0.0019443531,0.0010481565,0.0053711263
so,human,166,0.00018979223,0.00092859776,0.0002320325,0.03150551
for,human,296,0.00031705445,0.0011109599,0.0004025321,0.09384812
even,human,40,-0.0005854332,0.0008649051,-0.0005935126,-0.023417328
solitary,human,3,-0.0006481435,0.00038030834,-0.0007856529,-0.0019444306
female,human,4,0.0018274784,0.001986812,0.00200186,0.0073099136
walking,human,10,-0.00023201406,0.0014874266,0.0004704949,-0.0023201406
mr,human,140,-0.0010559434,0.0020237514,-0.00083785265,-0.14783208
weston,human,17,0.0014829481,0.0015359938,0.0013579288,0.025210118
disposition,human,12,-7.615192e-05,0.001600803,6.93653e-05,-0.000913823
circumstances,human,12,-0.0008406937,0.0010248448,-0.0007686657,-0.010088325
which,human,171,-0.00014232521,0.0012711819,-0.0001288431,-0.024337612
would,human,173,-0.00019573644,0.00086091174,-0.00025474976,-0.033862405
make,human,31,0.0006303171,0.00086725893,0.0007299809,0.01953983
no,human,112,-0.000861115,0.0009622125,-0.0008634295,-0.09644488
to,human,1093,0.000112214366,0.000991914,0.00014205108,0.1226503
their,human,120,-0.00012378795,0.0010564205,-0.000100851525,-0.014854553
half,human,26,-0.0009335425,0.001073087,-0.00092173065,-0.024272105
week,human,8,0.00043322993,0.0007984289,0.0001087963,0.0034658394
together,human,20,0.00040423992,0.00091508287,0.0005146257,0.008084798
her,human,573,0.0007129233,0.0012070986,0.00075019675,0.40850505
situation,human,16,-0.0007834809,0.0010834612,-0.00063395954,-0.012535694
altogether,human,6,-0.0005118091,0.0011420052,-0.0003202482,-0.0030708543
subject,human,20,-0.0005755442,0.0011370063,-0.00046762644,-0.011510884
hours,human,9,-0.00037938484,0.0010559609,-0.0005082892,-0.0034144637
gratitude,human,7,0.000632078,0.0006817133,0.00022589353,0.004424546
mrs,human,80,0.00054685667,0.0022013749,0.00061774265,0.043748535
moments,human,3,0.00058176165,0.00025658082,0.000532674,0.0017452849
only,human,51,-0.00043506557,0.0010121797,-0.00037739892,-0.022188343
regret,human,7,0.00033073933,0.001169851,0.0001645232,0.0023151753
satisfaction,human,13,-0.0002549314,0.0013565136,6.716547e-05,-0.0033141081
more,human,117,0.00012483698,0.0007516002,0.00012004045,0.014605926
than,human,91,4.747856e-05,0.00129667,0.00021738591,0.004320549
cheerful,human,8,-0.0007038922,0.001152514,-0.000620516,-0.0056311376
enjoyment,human,6,0.0014292946,0.0016033102,0.0009644801,0.008575767
just,human,14,-0.00020589288,0.0006877786,-0.00010565884,-0.0028825004
apparent,human,3,-0.00014872751,0.0004001968,-0.00042036813,-0.00044618253
that,human,463,-1.1244455e-05,0.0010319455,-3.1018426e-05,-0.0052061826
emma,human,28,0.0037617662,0.0025333713,0.0033061972,0.105329454
well,human,35,0.0005585323,0.00073285727,0.0004994088,0.01954863
as,human,351,0.00041376357,0.00094031787,0.000477331,0.14523101
she,human,361,0.0011680755,0.0011304858,0.0011086245,0.42167526
knew,human,21,-0.00014160667,0.0006602992,-4.551353e-05,-0.00297374
father,human,24,0.00023637018,0.000891308,0.00032915984,0.005672884
sometimes,human,11,-0.0023247728,0.0011297237,-0.002251008,-0.025572501
taken,human,16,0.00031244598,0.0008505309,0.00021153741,0.0049991356
